Title,FileName,Speaker,Date,Text,SeriesName,Mp3Url,SermonPageUrl,SeriesIndex,SermonId
"What We Teach: Sanctification, Part 1",20150104_ss.mp3,Greg Pickle,2015-01-04,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150104_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180228069,15,180228069
John 1:4-5,20150104_pm.mp3,Brian Beemer,2015-01-04,John 1:4-5,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150104_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180228608,3,180228608
"What We Teach: Sanctification, Part 2",20150111_ss.mp3,Greg Pickle,2015-01-11,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150111_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180228843,16,180228843
"A High View of God, A Proper Understanding of Conversion, and The Importance of the Church",20150111_am.mp3,Greg Pickle,2015-01-11,Various,Foundations of Biblical Ministry,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150111_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180228851,2,180228851
"What We Teach: Sanctification, Part 3",01182015 Sunday School.mp3,Greg Pickle,2015-01-18,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/01182015 Sunday School.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180229801,17,180229801
Foundations of Biblical Ministry - Part 3,01182015 Worship Service.mp3,Greg Pickle,2015-01-18,Various,Foundations of Biblical Ministry,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/01182015 Worship Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180229802,3,180229802
"What We Teach: Sanctification, Part 4",01252015 Sunday School.mp3,Greg Pickle,2015-01-25,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/01252015 Sunday School.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180231199,18,180231199
John 1:8-11,01252015 Evening Service.mp3,Brian Beemer,2015-01-25,John 1:1-18,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/01252015 Evening Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180231202,4,180231202
Paul - The Messenger of the Gospel,02012015 Worship Service.mp3,Greg Pickle,2015-02-01,Romans 1:1,Romans,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/02012015 Worship Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180231350,1,180231350
"What We Teach: Glorification, Part 1",02012015 Sunday School.mp3,Greg Pickle,2015-02-01,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/02012015 Sunday School.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180231354,19,180231354
John 1:12-13,02012015 Evening Service.mp3,Brian Beemer,2015-02-01,John 1:1-18,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/02012015 Evening Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180231704,5,180231704
The Message of the Gospel,02082015_am.mp3,Greg Pickle,2015-02-08,Romans 1:2-4,Romans,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/02082015_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180233548,2,180233548
"What We Teach: The Church, Part 1",20150208_ss.mp3,Brian Beemer,2015-02-08,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150208_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180233549,20,180233549
John 1:14,20150208_pm.mp3,Brian Beemer,2015-02-08,John 1:1-18,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150208_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180233550,6,180233550
The Message and Mission of the Gospel,20150215_am.mp3,Greg Pickle,2015-02-15,Romans 1:4-5,Romans,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150215_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180233894,3,180233894
John 1:15,20150215_pm.mp3,Brian Beemer,2015-02-15,John 1:1-18,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150215_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180233895,7,180233895
Gratitude for Faith Founded in Truth,20150222_am.mp3,Brian Beemer,2015-02-22,Colossians 1:3-8,Colossians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150222_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180234051,2,180234051
"The Forerunner of the King, part 2",20150222_pm.mp3,Philip Boudreaux,2015-02-22,Matthew 1:3-8,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150222_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180234132,7,180234132
